s,Sensor,Index,Measured (cm),Desired (cm),Error (cm),Abs Error (cm)
4/24/2026 20:02:11,SensorData,396,355.2558,369,-13.744202,13.744202
4/24/2026 20:02:21,SensorData,397,356.0684,370,-13.93161,13.93161
4/24/2026 20:02:38,SensorData,398,357.5712,371,-13.428802,13.428802
4/24/2026 20:02:55,SensorData,399,358.1356,372,-13.86441,13.86441
4/24/2026 20:03:10,SensorData,400,359.1046,373,-13.895416,13.895416
4/24/2026 20:03:30,SensorData,401,360.2878,374,-13.712219,13.712219
4/24/2026 20:03:43,SensorData,402,362.2972,375,-12.70282,12.70282
4/24/2026 20:04:06,SensorData,403,363.7966,376,-12.20343,12.20343
4/24/2026 20:04:40,SensorData,404,364.14,377,-12.860016,12.860016
4/24/2026 20:05:07,SensorData,405,366.095,378,-11.904999,11.904999
4/24/2026 20:05:27,SensorData,406,367.132,379,-11.868011,11.868011
4/24/2026 20:05:44,SensorData,407,366.945,380,-13.055023,13.055023
4/24/2026 20:07:05,SensorData,408,367.2578,381,-13.742187,13.742187
4/24/2026 20:09:08,SensorData,409,367.455,382,-14.544983,14.544983
4/24/2026 20:10:46,SensorData,410,367.778,382,-14.221985,14.221985
4/24/2026 20:11:03,SensorData,411,368.6212,383,-14.378784,14.378784
4/24/2026 20:11:44,SensorData,412,368.5464,383,-14.453613,14.453613
4/24/2026 20:11:58,SensorData,413,369.7704,384,-14.229584,14.229584
4/24/2026 20:12:10,SensorData,414,371.5282,385,-13.471771,13.471771
4/24/2026 20:12:14,SensorData,415,371.195,385,-13.804993,13.804993
4/24/2026 20:12:25,SensorData,416,372.8882,386,-13.111786,13.111786
4/24/2026 20:12:33,SensorData,417,372.3748,387,-14.625183,14.625183
4/24/2026 20:12:40,SensorData,418,373.9252,388,-14.074799,14.074799
4/24/2026 20:12:47,SensorData,419,374.8228,389,-14.177185,14.177185
4/24/2026 20:13:09,SensorData,420,376.9014,390,-13.098633,13.098633
4/24/2026 20:13:21,SensorData,421,376.5364,391,-14.463593,14.463593
4/24/2026 20:13:31,SensorData,422,377.2844,392,-14.715637,14.715637
4/24/2026 20:13:43,SensorData,423,380.46,393,-12.540009,12.540009
4/24/2026 20:15:11,SensorData,424,380.1965,394,-13.803497,13.803497
4/24/2026 20:15:32,SensorData,425,381.3916,395,-13.608398,13.608398
4/24/2026 20:15:51,SensorData,426,382.3776,396,-13.622375,13.622375
4/24/2026 20:15:57,SensorData,427,382.8366,397,-14.163391,14.163391
4/24/2026 20:16:11,SensorData,428,384.54,398,-13.460022,13.460022
4/24/2026 20:16:30,SensorData,429,384.2714,399,-14.728577,14.728577
4/24/2026 20:16:37,SensorData,430,385.8218,400,-14.178192,14.178192
4/24/2026 20:16:55,SensorData,431,385.6042,400,-14.395813,14.395813
